"","name","variable","ave","trend_value","pvalue","r2"
"1","西城","GPP",2.356,-0.043,0.016,0.035
"2","西城","ET",1.618,0.011,0.855,0
"3","西城","LAI",0.675,0.022,0,0.16
"4","西城","Tair",14.852,0.744,0.088,0.017
"5","西城","Rainf",1.39,0.04,0.658,0.001
"6","石景山","GPP",3.525,0.02,0.699,0.001
"7","石景山","ET",1.671,0.029,0.603,0.002
"8","石景山","LAI",1.048,0.061,0.001,0.06
"9","石景山","Tair",13.724,0.6,0.165,0.012
"10","石景山","Rainf",1.371,0.039,0.658,0.001
"11","海淀","GPP",3.096,0.01,0.789,0
"12","海淀","ET",1.64,0.02,0.723,0.001
"13","海淀","LAI",0.93,0.054,0,0.094
"14","海淀","Tair",14.317,0.67,0.124,0.014
"15","海淀","Rainf",1.367,0.037,0.667,0.001
"16","丰台","GPP",2.561,-0.019,0.372,0.005
"17","丰台","ET",1.496,0.006,0.906,0
"18","丰台","LAI",0.739,0.029,0,0.09
"19","丰台","Tair",14.676,0.684,0.113,0.015
"20","丰台","Rainf",1.405,0.042,0.646,0.001
"21","东城","GPP",2.441,-0.035,0.065,0.02
"22","东城","ET",1.6,0.011,0.85,0
"23","东城","LAI",0.703,0.027,0,0.148
"24","东城","Tair",14.943,0.738,0.09,0.017
"25","东城","Rainf",1.393,0.04,0.66,0.001
"26","朝阳","GPP",2.789,-0.002,0.938,0
"27","朝阳","ET",1.507,0.007,0.895,0
"28","朝阳","LAI",0.841,0.039,0,0.074
"29","朝阳","Tair",14.827,0.67,0.122,0.014
"30","朝阳","Rainf",1.389,0.039,0.664,0.001
"31","副城市中心","GPP",3.012,-0.011,0.764,0.001
"32","副城市中心","ET",1.657,0.005,0.93,0
"33","副城市中心","LAI",0.857,0.02,0.084,0.018
"34","副城市中心","Tair",14.57,0.534,0.213,0.009
"35","副城市中心","Rainf",1.416,0.04,0.661,0.001
