name,variable,ave,trend_value,pvalue,r2
未命名站点1,GPP,2.639,-0.002,0.936,0
未命名站点1,LAI,0.76,0.031,0.001,0.067
未命名站点1,ET,1.479,0.004,0.938,0
未命名站点1,Tair,14.758,0.62,0.15,0.012
未命名站点1,Rainf,1.415,0.041,0.655,0.001
未命名站点2,GPP,2.812,0.003,0.914,0
未命名站点2,LAI,0.855,0.048,0,0.099
未命名站点2,ET,1.507,0.01,0.842,0
未命名站点2,Tair,14.891,0.709,0.103,0.016
未命名站点2,Rainf,1.382,0.038,0.669,0.001
未命名站点3,GPP,2.405,-0.037,0.045,0.024
未命名站点3,LAI,0.673,0.023,0,0.153
未命名站点3,ET,1.543,0.008,0.885,0
未命名站点3,Tair,14.749,0.734,0.092,0.017
未命名站点3,Rainf,1.383,0.039,0.662,0.001
未命名站点4,GPP,2.453,-0.028,0.133,0.014
未命名站点4,LAI,0.697,0.028,0,0.173
未命名站点4,ET,1.559,0.011,0.847,0
未命名站点4,Tair,14.852,0.734,0.091,0.017
未命名站点4,Rainf,1.402,0.041,0.65,0.001
